Table 1 
Gaia Data and RVs for Candidate epsilonCA Members


Name ^a	R.A. (J2015.5)	Decl. (J2015.5)	pi	sigma	G	sigma	G - R _P	sigma	PMRA	sigma	PMDec	sigma	RV	sigma	RUWE ^b	RV ref ^c	
	(deg)	(deg)	(mas)		(mag)		(mag)		(mas yr^-1)		(mas yr^-1)		(km s^-1)		
RX J1202.1-7853dagger	180.5145	-78.8837	10.011	0.046	11.5100	0.0030	1.0059	0.0088	-45.122	0.081	-4.124	0.069	17.1	0.2	1.63	5	
RX J1202.8-7718Dagger	180.7269	-77.3106	9.606	0.035	13.3749	0.0026	1.1762	0.0080	-39.625	0.072	-6.044	0.059	14.4	0.6	1.21	7	
RX J1204.6-7731dagger	181.1498	-77.5263	9.922	0.034	12.5714	0.0018	1.1513	0.0053	-41.364	0.056	-6.397	0.052	10.4	2.0	1.20	6	
TYC 9420-676-1*	181.2384	-79.5346	3.700	0.080	10.23947	0.00063	0.4443	0.0016	-38.16	0.16	-1.00	0.18	cdots	cdots	2.95	cdots	
HD 105234^Dagger	181.7721	-78.7412	9.566	0.035	7.41947	0.00041	0.2247	0.0028	-40.971	0.058	-9.41	0.057	cdots	cdots	1.15	cdots	
2MASS J12074597-7816064*	181.9407	-78.2685	9.454	0.058	14.55144	0.00073	1.2293	0.0021	-38.424	0.091	-6.319	0.077	15.2	1.9	1.33	8	
RX J1207.7-7953^dagger	181.9501	-79.8785	10.016	0.030	13.3403	0.0022	1.1860	0.0057	-42.058	0.056	-7.113	0.052	15.0	0.7	1.12	8	
HIP 59243^Dagger	182.2811	-78.7813	10.019	0.033	6.79373	0.00043	0.1889	0.0034	-43.364	0.062	-7.619	0.06	cdots	cdots	1.10	cdots	
HD 105923^dagger	182.9084	-71.1767	9.400	0.036	8.83653	0.00083	0.5367	0.0035	-38.721	0.062	-7.423	0.051	14.34	1.06	0.87	1,2,12	
RX J1216.8-7753^dagger	184.1906	-77.8927	9.820	0.039	12.9206	0.0037	1.132	0.010	-39.825	0.072	-9.074	0.072	14.0	2.0	1.17	6	
RX J1219.7-7403^dagger	184.9315	-74.0659	9.865	0.027	12.1400	0.0016	1.0187	0.0042	-40.323	0.043	-9.256	0.039	13.86	1.89	0.96	2	
RX J1220.4-7407^dagger	185.0901	-74.1277	6.71	0.70	11.9406	0.0020	1.0706	0.0050	-40.9	1.2	-4.1	1.4	12.3	0.4	38.28^+	6	
2MASS J12203396-7135188^#	185.1411	-71.5886	10.773	0.057	13.21947	0.00084	1.2486	0.0019	-42.573	0.096	-8.571	0.070	cdots	cdots	1.28	cdots	
2MASS J12203619-7353027^#	185.1502	-73.8842	10.007	0.035	13.1409	0.0010	1.1424	0.0024	-40.621	0.069	-9.326	0.050	cdots	cdots	1.12	cdots	
2MASS J12210499-7116493^dagger	185.2703	-71.2804	10.055	0.024	11.2032	0.0028	0.8874	0.0079	-40.416	0.043	-9.647	0.034	11.44	2.53	1.02	9	
2MASS J12220068-7001041^#	185.5022	-70.0178	10.008	0.047	14.0236	0.0011	1.2371	0.0045	-41.229	0.096	-10.474	0.063	cdots	cdots	1.23	cdots	
2MASS J12222238-7137040^#	185.5926	-71.6178	10.516	0.027	12.5299	0.0081	1.105	0.023	-41.843	0.044	-9.962	0.043	cdots	cdots	1.06	cdots	
2MASS J12224862-7410203^#	185.702	-74.1724	10.605	0.089	16.1751	0.0024	1.4774	0.0068	-42.57	0.15	-9.27	0.13	cdots	cdots	1.18	cdots	
2MASS J12255824-7551116^#	186.4921	-75.8533	10.049	0.065	15.36554	0.00074	1.3318	0.0026	-41.23	0.11	-10.46	0.10	cdots	cdots	1.20	cdots	
2MASS J12324805-7654237^#	188.1995	-76.9067	11.69	0.91	12.8346	0.0012	1.1960	0.0033	-41.84	1.67	-13.49	1.32	cdots	cdots	36.83^+	cdots	
2MASS J12332483-6848553^#	188.3531	-68.8154	10.061	0.086	15.7118	0.0012	1.3676	0.0039	-41.43	0.13	-12.51	0.11	cdots	cdots	1.16	cdots	
2MASS J12351540-7043079^#	188.8135	-70.7189	10.705	0.066	15.70148	0.00068	1.3844	0.0026	-43.72	0.11	-12.639	0.094	cdots	cdots	1.03	cdots	
RX J1239.4-7502^dagger	189.838	-75.0443	9.646	0.027	9.9751	0.0017	0.6679	0.0048	-38.214	0.044	-12.368	0.042	13.62	2.8	0.97	9	
2MASS J12421315-6943484^#	190.5543	-69.7302	10.062	0.083	15.1444	0.0011	1.3551	0.0039	-39.50	0.14	-12.77	0.10	cdots	cdots	1.24	cdots	
RX J1243.1-7458*	190.7219	-74.98	7.99	0.37	13.7652	0.0044	1.186	0.011	-17.25	0.66	-2.63	0.53	13.5	7.0	10.71^+	8	
2MASS J12425584-7034207^#	190.7321	-70.5725	10.062	0.078	15.97496	0.00098	1.4049	0.0031	-40.47	0.12	-13.20	0.12	cdots	cdots	0.99	cdots	
2MASS J12473611-7031135^#	191.9000	-70.5206	10.012	0.031	13.26920	0.00065	1.1498	0.0016	-40.249	0.048	-14.241	0.045	cdots	cdots	1.12	cdots	
CD-69 1055^dagger	194.6061	-70.4804	10.549	0.029	9.6062	0.0027	0.6388	0.0076	-41.001	0.047	-16.459	0.045	11.18	1.67	1.01	1,2,8	
CM Cha^Dagger	195.5560	-76.6328	5.152	0.024	12.5599	0.0043	1.001	0.012	-20.990	0.040	-9.144	0.041	cdots	cdots	1.15	cdots	
MP Mus^dagger	200.531	-69.6368	10.115	0.031	9.9521	0.0030	0.7207	0.0087	-38.289	0.044	-20.204	0.045	11.6	0.2	0.98	12	
Notes.
^a M+13 bona fide members are indicated by dagger, M+13 provisional members are indicated by Dagger, M+13 rejected members are indicated by *, and GF18 members are indicated by #.
^b Values marked with + have high astrometric excess noise.
^c References for radial velocities: (1) Desidera et al. (2015), (2) Gaia Collaboration et al. (2018), (3) Gontcharov (2006), (4) Grady et al. (2004), (5) Guenther et al. (2007), (6) Lopez Marti et al. (2013), (7) Malo et al. (2014), (8) Murphy et al. (2013), (9) Kordopatis et al. (2013), (10) Schisano et al. (2009), (11) Terranegra et al. (1999), (12) Torres et al. (2006).
