JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459898.65870,11.380,0.005,,B,BPEC,,105,111,X28357DP,|CMAGINS=-9.957|CREFMAG=11.495|KMAGINS=-9.905|KREFERR=0.006|KREFMAG=11.510|OBSERVAT=MAO PW CDK17|TAVER=2.52|TB_BV=0.0310|TB_BVERR=0.0070|VERR=0.005|VMAGINS=-10.076|VX=1.6643,1,1.671,Z,-9.957,-9.905,,ASAS J060415+1245.9,AAVSO,STD,103,,,
2459898.65943,10.219,0.003,,V,BPEC,,105,111,X28357DP,|CMAGINS=-10.746|CREFERR=0.049|CREFMAG=10.452|KMAGINS=-10.131|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=MAO PW CDK17|TAVER=2.52|TV_BV=-0.1310|TV_BVERR=0.0080|VERR=0.003|VMAGINS=-10.964|VX=1.6572,1,1.664,Z,-10.746,-10.131,,ASAS J060415+1245.9,AAVSO,STD,103,,,
2459898.66008,9.561,0.003,,R,BPEC,,105,111,X28357DP,|CMAGINS=-10.912|CREFERR=0.091|CREFMAG=9.879|KMAGINS=-9.907|KREFERR=0.063|KREFMAG=10.854|OBSERVAT=MAO PW CDK17|TAVER=2.52|TR_VI=-0.1380|TR_VIERR=0.0070|VERR=0.003|VMAGINS=-11.200|VX=1.6510,1,1.657,Z,-10.912,-9.907,,ASAS J060415+1245.9,AAVSO,STD,103,,,
2459898.66078,8.893,0.005,,I,BPEC,,105,111,X28357DP,|CMAGINS=-10.064|CREFERR=0.116|CREFMAG=9.345|KMAGINS=-8.773|KREFERR=0.084|KREFMAG=10.609|OBSERVAT=MAO PW CDK17|TAVER=2.52|TI_VI=-0.1510|TI_VIERR=0.0080|VERR=0.005|VMAGINS=-10.483|VX=1.6444,1,1.651,Z,-10.064,-8.773,,ASAS J060415+1245.9,AAVSO,STD,103,,,
2459898.768873,10.296,0.070,,V,TNBA,,NA,,K,OSC (RGB) TRANSFORMED TO TYCHO V-BAND,1,,Z,,,2459898.773267,ASAS J060415+1245.9,AAVSO,STD,,,,
2459898.825041,8.833,0.005,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.260,Z,17.593,18.966,,ASAS J060415+1245.9,VVS,STD,,,,
2459898.825260,8.827,0.005,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.261,Z,17.595,18.955,,ASAS J060415+1245.9,VVS,STD,,,,
2459898.825532,10.236,0.004,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.261,Z,16.962,17.656,,ASAS J060415+1245.9,VVS,STD,,,,
2459898.825799,10.233,0.004,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.262,Z,16.962,17.661,,ASAS J060415+1245.9,VVS,STD,,,,
2459898.826169,11.360,0.006,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.263,Z,17.943,17.978,,ASAS J060415+1245.9,VVS,STD,,,,
2459898.826551,11.358,0.006,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.263,Z,17.952,17.981,,ASAS J060415+1245.9,VVS,STD,,,,
2459899.16384,11.277,0.007,,B,PEX,,111,,X28357AJ,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-9.349|CREFERR=0.006|CREFMAG=11.510|VMAGINS=-9.581,0,1.976,Z,-9.349,,,HD 251108,AAVSO,STD,,,,
2459899.16421,10.187,0.003,,V,PEX,,111,,X28357AJ,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-10.071|CREFERR=0.020|CREFMAG=11.112|VMAGINS=-10.996,0,1.971,Z,-10.071,,,HD 251108,AAVSO,STD,,,,
2459899.16456,9.454,0.003,,R,PEX,,111,,X28357AJ,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-9.935|CREFERR=0.063|CREFMAG=10.854|VMAGINS=-11.335,0,1.966,Z,-9.935,,,HD 251108,AAVSO,STD,,,,
2459899.16490,8.813,0.009,,I,PEX,,111,,X28357AJ,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-8.653|CREFERR=0.084|CREFMAG=10.609|VMAGINS=-10.448,0,1.962,Z,-8.653,,,HD 251108,AAVSO,STD,,,,
2459899.346204,8.785,0.016,,I,OMOA,,ENSEMBLE,,,,0,1.242,Z,,,,ASAS J060415+1245.9,AAVSO,STD,,,,
2459899.38755,10.177,0.007,,V,PJMB,BU,000-BPM-314,000-BPM-315,X28357C,Mak127 ASI533MM FotoDif 3.135,0,,Z,-13.459,11.145,,HD 251108,AAVSO,STD,,,,
2459899.505861,10.0243,0.0108,,V,VJCA,,NA,,,COMPARISSON STARS AUTOMATICALLY DETERMINED BY ASTROSOURCE. MAGNITUDE IS CALIBRATED.,0,,Z,,,,HD 251108,,STD,,,,
2459899.506498,11.146,0.0068,,B,VJCA,,NA,,,COMPARISSON STARS AUTOMATICALLY DETERMINED BY ASTROSOURCE. MAGNITUDE IS CALIBRATED.,0,,Z,,,,HD 251108,,STD,,,,
2459899.507107,9.58,0.0146,,SR,VJCA,,NA,,,COMPARISSON STARS AUTOMATICALLY DETERMINED BY ASTROSOURCE. MAGNITUDE IS CALIBRATED.,0,,Z,,,,HD 251108,,STD,,,,
2459899.824363,8.806,0.006,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.264,Z,18.029,19.424,,ASAS J060415+1245.9,VVS,STD,,,,
2459899.824525,8.804,0.006,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.265,Z,18.025,19.400,,ASAS J060415+1245.9,VVS,STD,,,,
2459899.824711,10.199,0.005,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.265,Z,17.697,18.405,,ASAS J060415+1245.9,VVS,STD,,,,
2459899.824861,10.196,0.005,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.265,Z,17.706,18.405,,ASAS J060415+1245.9,VVS,STD,,,,
2459899.825104,11.330,0.008,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.266,Z,18.377,18.424,,ASAS J060415+1245.9,VVS,STD,,,,
2459899.825382,11.335,0.008,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.266,Z,18.379,18.419,,ASAS J060415+1245.9,VVS,STD,,,,
2459899.936581,10.237,0.070,,V,TNBA,,NA,,K,OSC (RGB) TRANSFORMED TO TYCHO V-BAND,1,,Z,,,2459899.941045,ASAS J060415+1245.9,AAVSO,STD,,,,
2459900.227352,9.9725,0.0087,,V,VJCA,,NA,,,COMPARISSON STARS AUTOMATICALLY DETERMINED BY ASTROSOURCE. MAGNITUDE IS CALIBRATED.,0,,Z,,,,HD 251108,,STD,,,,
2459900.227978,11.112,0.0055,,B,VJCA,,NA,,,COMPARISSON STARS AUTOMATICALLY DETERMINED BY ASTROSOURCE. MAGNITUDE IS CALIBRATED.,0,,Z,,,,HD 251108,,STD,,,,
2459900.228587,9.5172,0.0139,,SR,VJCA,,NA,,,COMPARISSON STARS AUTOMATICALLY DETERMINED BY ASTROSOURCE. MAGNITUDE IS CALIBRATED.,0,,Z,,,,HD 251108,,STD,,,,
2459900.24740,11.300,0.004,,B,MGW,,111,UCAC 4 514-019297,X28357SO,"T50 - SIDING SPRING|OBSERVAT=GMY CDK 17"" SSO T50|CMAGINS=-9.309|CREFERR=0.006|CREFMAG=11.510|KMAG=13.786|KMAGINS=-7.034|KREFERR=0.015|KREFMAG=13.783|VMAGINS=-9.519",0,1.522,Z,-9.309,-7.034,,ASAS J060415+1245.9,AAVSO,STD,,,,
2459900.760631,10.226,0.071,,V,TNBA,,NA,,K,OSC (RGB) TRANSFORMED TO TYCHO V-BAND,1,,Z,,,2459900.765143,ASAS J060415+1245.9,AAVSO,STD,,,,
2459900.824294,8.792,0.006,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.270,Z,18.029,19.412,,ASAS J060415+1245.9,VVS,STD,,,,
2459900.824456,8.772,0.006,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.270,Z,18.033,19.398,,ASAS J060415+1245.9,VVS,STD,,,,
2459900.824641,10.163,0.005,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.271,Z,17.722,18.421,,ASAS J060415+1245.9,VVS,STD,,,,
2459900.824792,10.174,0.005,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.271,Z,17.711,18.417,,ASAS J060415+1245.9,VVS,STD,,,,
2459900.825035,11.282,0.008,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.271,Z,18.409,18.434,,ASAS J060415+1245.9,VVS,STD,,,,
2459900.825313,11.301,0.008,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.272,Z,18.399,18.447,,ASAS J060415+1245.9,VVS,STD,,,,
2459900.98645,10.160,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.345|CREFERR=0.049|CREFMAG=10.452|KMAG=11.151|KMAGINS=-8.646|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.637,0,1.141,Z,-9.345,-8.646,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.98713,10.160,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.323|CREFERR=0.049|CREFMAG=10.452|KMAG=11.141|KMAGINS=-8.635|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.616,0,1.143,Z,-9.323,-8.635,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.98779,10.152,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.263|CREFERR=0.049|CREFMAG=10.452|KMAG=11.132|KMAGINS=-8.583|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.563,0,1.144,Z,-9.263,-8.583,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.98846,10.166,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.315|CREFERR=0.049|CREFMAG=10.452|KMAG=11.147|KMAGINS=-8.620|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.600,0,1.146,Z,-9.315,-8.620,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.98912,10.178,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.352|CREFERR=0.049|CREFMAG=10.452|KMAG=11.154|KMAGINS=-8.649|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.626,0,1.147,Z,-9.352,-8.649,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.98978,10.161,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.329|CREFERR=0.049|CREFMAG=10.452|KMAG=11.144|KMAGINS=-8.637|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.620,0,1.149,Z,-9.329,-8.637,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.99044,10.166,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.288|CREFERR=0.049|CREFMAG=10.452|KMAG=11.140|KMAGINS=-8.599|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.573,0,1.150,Z,-9.288,-8.599,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.99110,10.164,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.296|CREFERR=0.049|CREFMAG=10.452|KMAG=11.153|KMAGINS=-8.595|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.584,0,1.152,Z,-9.296,-8.595,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.99176,10.165,0.007,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.383|CREFERR=0.049|CREFMAG=10.452|KMAG=11.164|KMAGINS=-8.671|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.671,0,1.153,Z,-9.383,-8.671,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.99243,10.174,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.325|CREFERR=0.049|CREFMAG=10.452|KMAG=11.158|KMAGINS=-8.620|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.603,0,1.155,Z,-9.325,-8.620,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.99309,10.181,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.307|CREFERR=0.049|CREFMAG=10.452|KMAG=11.163|KMAGINS=-8.596|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.578,0,1.157,Z,-9.307,-8.596,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.99375,10.171,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.296|CREFERR=0.049|CREFMAG=10.452|KMAG=11.156|KMAGINS=-8.591|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.577,0,1.158,Z,-9.296,-8.591,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.99441,10.168,0.006,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.348|CREFERR=0.049|CREFMAG=10.452|KMAG=11.155|KMAGINS=-8.645|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.632,0,1.160,Z,-9.348,-8.645,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.99507,10.172,0.006,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.330|CREFERR=0.049|CREFMAG=10.452|KMAG=11.161|KMAGINS=-8.621|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.611,0,1.162,Z,-9.330,-8.621,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.99573,10.176,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.307|CREFERR=0.049|CREFMAG=10.452|KMAG=11.164|KMAGINS=-8.595|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.583,0,1.163,Z,-9.307,-8.595,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.99638,10.173,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.297|CREFERR=0.049|CREFMAG=10.452|KMAG=11.161|KMAGINS=-8.588|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.576,0,1.165,Z,-9.297,-8.588,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.99704,10.179,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.361|CREFERR=0.049|CREFMAG=10.452|KMAG=11.163|KMAGINS=-8.650|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.634,0,1.167,Z,-9.361,-8.650,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.99771,10.177,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.303|CREFERR=0.049|CREFMAG=10.452|KMAG=11.145|KMAGINS=-8.610|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.578,0,1.168,Z,-9.303,-8.610,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.99837,10.175,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.311|CREFERR=0.049|CREFMAG=10.452|KMAG=11.156|KMAGINS=-8.607|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.588,0,1.170,Z,-9.311,-8.607,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.99902,10.172,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.318|CREFERR=0.049|CREFMAG=10.452|KMAG=11.156|KMAGINS=-8.613|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.598,0,1.172,Z,-9.318,-8.613,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459900.99968,10.186,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.353|CREFERR=0.049|CREFMAG=10.452|KMAG=11.170|KMAGINS=-8.635|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.619,0,1.174,Z,-9.353,-8.635,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.00032,10.169,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.312|CREFERR=0.049|CREFMAG=10.452|KMAG=11.157|KMAGINS=-8.606|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.595,0,1.176,Z,-9.312,-8.606,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.00098,10.180,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.300|CREFERR=0.049|CREFMAG=10.452|KMAG=11.161|KMAGINS=-8.591|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.572,0,1.178,Z,-9.300,-8.591,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.00163,10.167,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.273|CREFERR=0.049|CREFMAG=10.452|KMAG=11.150|KMAGINS=-8.574|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.558,0,1.179,Z,-9.273,-8.574,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.00228,10.176,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.354|CREFERR=0.049|CREFMAG=10.452|KMAG=11.152|KMAGINS=-8.654|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.630,0,1.181,Z,-9.354,-8.654,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.00294,10.164,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.297|CREFERR=0.049|CREFMAG=10.452|KMAG=11.147|KMAGINS=-8.602|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.585,0,1.183,Z,-9.297,-8.602,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.00360,10.158,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.237|CREFERR=0.049|CREFMAG=10.452|KMAG=11.140|KMAGINS=-8.549|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.531,0,1.185,Z,-9.237,-8.549,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.00426,10.167,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.302|CREFERR=0.049|CREFMAG=10.452|KMAG=11.148|KMAGINS=-8.606|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.587,0,1.187,Z,-9.302,-8.606,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.00492,10.160,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.341|CREFERR=0.049|CREFMAG=10.452|KMAG=11.145|KMAGINS=-8.649|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.634,0,1.189,Z,-9.341,-8.649,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.00558,10.162,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.254|CREFERR=0.049|CREFMAG=10.452|KMAG=11.146|KMAGINS=-8.561|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.544,0,1.191,Z,-9.254,-8.561,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.00624,10.165,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.310|CREFERR=0.049|CREFMAG=10.452|KMAG=11.147|KMAGINS=-8.615|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.597,0,1.193,Z,-9.310,-8.615,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.00690,10.162,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.288|CREFERR=0.049|CREFMAG=10.452|KMAG=11.147|KMAGINS=-8.594|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.578,0,1.196,Z,-9.288,-8.594,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.00756,10.165,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.317|CREFERR=0.049|CREFMAG=10.452|KMAG=11.150|KMAGINS=-8.619|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.604,0,1.198,Z,-9.317,-8.619,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.00822,10.160,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.279|CREFERR=0.049|CREFMAG=10.452|KMAG=11.135|KMAGINS=-8.595|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.571,0,1.200,Z,-9.279,-8.595,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.00888,10.167,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.289|CREFERR=0.049|CREFMAG=10.452|KMAG=11.150|KMAGINS=-8.591|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.574,0,1.202,Z,-9.289,-8.591,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.00955,10.172,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.301|CREFERR=0.049|CREFMAG=10.452|KMAG=11.150|KMAGINS=-8.603|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.581,0,1.204,Z,-9.301,-8.603,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.01020,10.175,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.325|CREFERR=0.049|CREFMAG=10.452|KMAG=11.151|KMAGINS=-8.626|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.602,0,1.206,Z,-9.325,-8.626,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.01084,10.163,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.298|CREFERR=0.049|CREFMAG=10.452|KMAG=11.156|KMAGINS=-8.594|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.587,0,1.209,Z,-9.298,-8.594,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.01150,10.165,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.279|CREFERR=0.049|CREFMAG=10.452|KMAG=11.144|KMAGINS=-8.587|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.566,0,1.211,Z,-9.279,-8.587,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.01216,10.160,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.293|CREFERR=0.049|CREFMAG=10.452|KMAG=11.143|KMAGINS=-8.602|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.585,0,1.213,Z,-9.293,-8.602,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.01284,10.167,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.316|CREFERR=0.049|CREFMAG=10.452|KMAG=11.147|KMAGINS=-8.621|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.601,0,1.216,Z,-9.316,-8.621,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.01350,10.165,0.004,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.297|CREFERR=0.049|CREFMAG=10.452|KMAG=11.140|KMAGINS=-8.609|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.584,0,1.218,Z,-9.297,-8.609,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.01414,10.159,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.255|CREFERR=0.049|CREFMAG=10.452|KMAG=11.140|KMAGINS=-8.567|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.548,0,1.220,Z,-9.255,-8.567,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.01481,10.171,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.292|CREFERR=0.049|CREFMAG=10.452|KMAG=11.157|KMAGINS=-8.587|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.573,0,1.223,Z,-9.292,-8.587,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.01546,10.174,0.005,,V,CCHD,,105,111,X28357AUH,|CMAGINS=-9.309|CREFERR=0.049|CREFMAG=10.452|KMAG=11.157|KMAGINS=-8.604|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=SUPRA SOLEM OBSERVATORY|VMAGINS=-9.588,0,1.225,Z,-9.309,-8.604,,ASAS J060415+1245.9,AAVSO,STD,0,,,
2459901.227383,9.9393,0.0079,,V,VJCA,,NA,,,COMPARISSON STARS AUTOMATICALLY DETERMINED BY ASTROSOURCE. MAGNITUDE IS CALIBRATED.,0,,Z,,,,HD 251108,,STD,,,,
