JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459988.532743,11.253,0.009,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.236,Z,18.591,18.607,,ASAS J060415+1245.9,VVS,STD,,,,
2459988.533009,11.232,0.009,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.236,Z,18.612,18.603,,ASAS J060415+1245.9,VVS,STD,,,,
2459990.27917,10.05,0.01,,V,TIA,,000BPM315,,X28424CM,,0,1.219,Z,11.112,,,000-BPM-310,MCSE,STD,,,,
2459990.522975,8.658,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.240,Z,18.347,19.686,,ASAS J060415+1245.9,VVS,STD,,,,
2459990.523125,8.692,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.240,Z,18.311,19.668,,ASAS J060415+1245.9,VVS,STD,,,,
2459990.523310,10.044,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.239,Z,18.013,18.686,,ASAS J060415+1245.9,VVS,STD,,,,
2459990.523461,10.037,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.239,Z,17.991,18.682,,ASAS J060415+1245.9,VVS,STD,,,,
2459990.523704,11.201,0.009,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.239,Z,18.687,18.717,,ASAS J060415+1245.9,VVS,STD,,,,
2459990.523970,11.192,0.009,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.239,Z,18.691,18.719,,ASAS J060415+1245.9,VVS,STD,,,,
2459991.522431,8.695,0.010,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.238,Z,18.964,20.228,,ASAS J060415+1245.9,VVS,STD,,,,
2459991.522581,8.444,0.017,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.238,Z,19.668,20.558,,ASAS J060415+1245.9,VVS,STD,,,,
2459991.522766,10.478,0.013,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.237,Z,18.995,20.139,,ASAS J060415+1245.9,VVS,STD,,,,
2459991.522928,10.387,0.013,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.237,Z,18.968,20.058,,ASAS J060415+1245.9,VVS,STD,,,,
2459991.523160,11.512,0.019,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.237,Z,19.488,19.855,,ASAS J060415+1245.9,VVS,STD,,,,
2459991.523438,11.425,0.016,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.237,Z,19.367,19.898,,ASAS J060415+1245.9,VVS,STD,,,,
2459992.600116,8.668,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.352,Z,18.346,19.646,,ASAS J060415+1245.9,VVS,STD,,,,
2459992.600266,8.597,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.353,Z,18.377,19.656,,ASAS J060415+1245.9,VVS,STD,,,,
2459992.600451,9.976,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.354,Z,18.000,18.590,,ASAS J060415+1245.9,VVS,STD,,,,
2459992.600602,10.041,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.354,Z,17.948,18.594,,ASAS J060415+1245.9,VVS,STD,,,,
2459992.600845,11.204,0.009,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.355,Z,18.603,18.610,,ASAS J060415+1245.9,VVS,STD,,,,
2459992.601111,11.220,0.009,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.356,Z,18.636,18.647,,ASAS J060415+1245.9,VVS,STD,,,,
2459993.524965,8.679,0.007,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.233,Z,18.220,19.540,,ASAS J060415+1245.9,VVS,STD,,,,
2459993.525127,8.719,0.006,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.232,Z,18.176,19.530,,ASAS J060415+1245.9,VVS,STD,,,,
2459993.525313,10.098,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.232,Z,17.833,18.540,,ASAS J060415+1245.9,VVS,STD,,,,
2459993.525463,10.077,0.006,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.232,Z,17.904,18.576,,ASAS J060415+1245.9,VVS,STD,,,,
