HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458537.65036,2019-02-23.1478061,bl,1.53,15.011,10.668,0.005,196.297,0.926,g
2458537.65158,2019-02-23.1490298,bl,1.50,15.020,10.671,0.005,195.593,0.925,g
2458537.65280,2019-02-23.1502548,bl,1.54,15.016,10.673,0.005,195.358,0.829,g
2458538.64976,2019-02-24.1472931,bl,1.52,15.029,10.632,0.005,202.875,0.941,g
2458538.65097,2019-02-24.1485146,bl,1.39,15.036,10.630,0.005,203.343,0.899,g
2458538.65220,2019-02-24.1497445,bl,1.46,15.038,10.655,0.005,198.631,0.876,g
2458539.74644,2019-02-25.2440813,bt,1.52,14.605,10.639,0.007,201.543,1.191,g
2458539.74767,2019-02-25.2453018,bt,1.51,14.609,10.627,0.007,203.887,1.201,g
2458539.74889,2019-02-25.2465164,bt,1.49,14.655,10.639,0.006,201.587,1.172,g
2458540.72418,2019-02-26.2218954,bt,1.50,14.981,10.608,0.005,207.500,0.865,g
2458540.72539,2019-02-26.2231190,bt,1.47,14.986,10.604,0.005,208.204,0.877,g
2458540.72661,2019-02-26.2243313,bt,1.48,14.986,10.615,0.005,206.072,0.889,g
2458541.72503,2019-02-27.2228391,bt,1.53,14.979,10.576,0.005,213.529,0.919,g
2458541.72624,2019-02-27.2240512,bt,1.47,14.991,10.600,0.005,208.899,0.894,g
2458541.72744,2019-02-27.2252564,bt,1.53,14.991,10.599,0.005,209.125,0.907,g
2458543.70700,2019-03-01.2049886,bt,1.51,14.994,10.585,0.005,211.784,0.882,g
2458543.70821,2019-03-01.2061951,bt,1.51,14.998,10.599,0.005,208.959,0.877,g
2458543.70943,2019-03-01.2074135,bt,1.47,14.991,10.586,0.005,211.629,0.896,g
2458544.73381,2019-03-02.2318900,bt,1.54,14.958,10.586,0.005,211.646,0.975,g
2458544.73501,2019-03-02.2331021,bt,1.53,14.952,10.583,0.005,212.248,0.944,g
2458544.73623,2019-03-02.2343202,bt,1.53,14.953,10.582,0.005,212.393,0.956,g
2458545.72960,2019-03-03.2277730,bt,1.52,14.526,10.598,0.008,209.197,1.440,g
2458545.73080,2019-03-03.2289804,bt,1.52,14.428,10.636,0.010,202.056,1.751,g
2458545.73201,2019-03-03.2301877,bt,1.49,14.455,10.622,0.007,204.795,1.342,g
2458546.73312,2019-03-04.2313836,bt,1.56,14.647,10.621,0.007,204.916,1.304,g
2458546.73433,2019-03-04.2325996,bt,1.58,14.705,10.630,0.006,203.365,1.088,g
2458546.73555,2019-03-04.2338178,bt,1.53,14.554,10.625,0.008,204.114,1.407,g
2458548.74991,2019-03-06.2483732,bt,1.50,99.990,99.990,99.990,99.990,99.990,g
2458548.75114,2019-03-06.2495922,bt,1.55,99.990,99.990,99.990,99.990,99.990,g
2458548.75235,2019-03-06.2508131,bt,1.54,99.990,99.990,99.990,99.990,99.990,g
2458554.56304,2019-03-12.0620540,bl,1.51,15.118,10.757,0.004,180.832,0.732,g
2458554.56426,2019-03-12.0632675,bl,1.50,15.117,10.760,0.004,180.275,0.735,g
2458554.56547,2019-03-12.0644863,bl,1.48,15.126,10.769,0.005,178.828,0.759,g
2458559.68650,2019-03-17.1860155,bt,1.52,14.919,10.677,0.005,194.639,0.937,g
2458559.68773,2019-03-17.1872339,bt,1.48,14.936,10.667,0.005,196.504,0.964,g
2458559.68894,2019-03-17.1884530,bt,1.50,14.905,10.655,0.005,198.664,0.990,g
2458560.71667,2019-03-18.2162813,bt,2.13,14.386,10.600,0.014,208.860,2.672,g
2458560.71788,2019-03-18.2174968,bt,1.52,14.586,10.598,0.008,209.391,1.457,g
2458561.68380,2019-03-19.1835104,bt,1.49,14.855,10.591,0.005,210.546,1.040,g
2458561.68502,2019-03-19.1847282,bt,1.52,14.876,10.641,0.005,201.222,0.992,g
2458561.68624,2019-03-19.1859462,bt,1.50,14.861,10.642,0.005,200.891,1.037,g
2458562.68634,2019-03-20.1861452,bt,1.53,14.834,10.581,0.005,212.690,1.115,g
2458562.68756,2019-03-20.1873598,bt,1.57,14.839,10.593,0.006,210.309,1.158,g
2458562.68877,2019-03-20.1885833,bt,1.59,14.847,10.583,0.006,212.310,1.122,g
2458565.67930,2019-03-23.1793953,bt,1.57,14.706,10.607,0.006,207.572,1.142,g
2458565.68052,2019-03-23.1806143,bt,1.52,14.747,10.585,0.006,211.906,1.096,g
2458565.68172,2019-03-23.1818216,bt,1.47,14.782,10.591,0.006,210.668,1.105,g
2458566.66749,2019-03-24.1676892,bt,1.46,14.961,10.606,0.005,207.772,0.935,g
2458566.66871,2019-03-24.1689035,bt,1.47,14.963,10.608,0.005,207.448,0.954,g
2458566.66993,2019-03-24.1701239,bt,1.54,14.960,10.607,0.005,207.605,0.944,g
2458569.78161,2019-03-27.2821023,bD,1.53,15.252,10.711,0.004,188.540,0.696,g
2458569.78289,2019-03-27.2833813,bD,1.58,15.246,10.710,0.004,188.841,0.707,g
2458569.78416,2019-03-27.2846552,bD,1.59,15.244,10.709,0.004,188.878,0.718,g
2458570.64393,2019-03-28.1445071,bt,1.49,14.271,10.691,0.009,192.095,1.647,g
2458570.64513,2019-03-28.1457181,bt,1.46,14.288,10.719,0.009,187.418,1.556,g
2458570.64636,2019-03-28.1469400,bt,1.49,14.398,10.737,0.008,184.290,1.424,g
2458572.75491,2019-03-30.2556978,bD,1.55,15.297,10.796,0.004,174.453,0.660,g
2458572.75620,2019-03-30.2569835,bD,1.54,15.287,10.783,0.004,176.555,0.650,g
2458572.75747,2019-03-30.2582540,bD,1.56,15.287,10.780,0.004,177.135,0.642,g
2458574.64904,2019-04-01.1500114,bt,2.04,14.965,10.791,0.006,175.276,0.869,g
2458574.65026,2019-04-01.1512293,bt,2.07,14.966,10.795,0.006,174.713,0.923,g
2458574.65147,2019-04-01.1524465,bt,2.08,14.944,10.776,0.006,177.637,0.906,g
2458577.74004,2019-04-04.2413016,bD,2.40,15.237,10.823,0.008,170.100,1.160,g
2458577.74258,2019-04-04.2438527,bD,2.45,15.231,10.831,0.008,168.972,1.230,g
2458579.59701,2019-04-06.0984497,bt,1.86,99.990,99.990,99.990,99.990,99.990,g
2458579.73654,2019-04-06.2379902,bD,2.04,15.286,10.733,0.004,184.722,0.674,g
2458579.73781,2019-04-06.2392699,bD,2.02,15.278,10.731,0.004,185.174,0.663,g
2458579.73909,2019-04-06.2405467,bD,2.01,15.276,10.718,0.003,187.403,0.637,g
2458583.22733,2019-04-09.7291223,bp,2.30,15.036,10.633,0.006,202.731,1.174,g
2458583.22856,2019-04-09.7303440,bp,2.26,15.002,10.642,0.006,201.073,1.038,g
2458583.22977,2019-04-09.7315576,bp,2.27,15.042,10.636,0.006,202.061,1.040,g
2458586.50987,2019-04-13.0119516,bH,1.36,15.058,10.626,0.005,204.054,0.930,g
2458586.51114,2019-04-13.0132217,bH,1.43,15.053,10.617,0.005,205.673,0.886,g
2458586.51241,2019-04-13.0144951,bH,1.42,15.057,10.615,0.005,206.104,0.882,g
2458588.50850,2019-04-15.0107681,bH,1.49,15.060,10.647,0.006,200.068,0.978,g
2458588.50977,2019-04-15.0120334,bH,1.44,15.035,10.634,0.006,202.327,0.996,g
2458588.51103,2019-04-15.0132997,bH,1.42,15.056,10.641,0.005,201.278,0.897,g
2458589.26734,2019-04-15.7696700,bp,1.49,15.022,10.664,0.005,197.057,0.859,g
2458589.26854,2019-04-15.7708754,bp,1.47,15.047,10.661,0.005,197.656,0.904,g
2458589.26975,2019-04-15.7720927,bp,1.57,15.046,10.659,0.005,197.936,0.961,g
2458589.60105,2019-04-16.1034252,bt,2.38,14.864,10.687,0.008,192.822,1.362,g
2458590.47614,2019-04-16.9785834,bl,1.56,15.028,10.679,0.005,194.191,0.918,g
2458590.47735,2019-04-16.9797965,bl,1.59,15.039,10.692,0.005,192.049,0.908,g
2458590.47857,2019-04-16.9810131,bl,1.54,15.047,10.679,0.005,194.170,0.875,g
2458590.52358,2019-04-17.0260287,bl,1.54,14.951,10.678,0.005,194.343,0.970,g
2458590.52480,2019-04-17.0272503,bl,1.50,14.957,10.690,0.005,192.285,0.945,g
2458591.48653,2019-04-17.9890545,bH,1.45,15.087,10.728,0.005,185.672,0.856,g
2458591.48780,2019-04-17.9903337,bH,1.49,15.083,10.735,0.006,184.434,0.995,g
2458591.48907,2019-04-17.9916020,bH,1.54,15.089,10.743,0.006,183.096,0.956,g
2458595.49569,2019-04-21.9985709,bH,1.53,15.170,10.847,0.005,166.448,0.821,g
2458595.49696,2019-04-21.9998371,bH,1.47,15.167,10.849,0.005,166.138,0.755,g
2458595.49823,2019-04-22.0011045,bH,1.47,15.163,10.846,0.005,166.667,0.781,g
2458596.47455,2019-04-22.9775166,bl,2.09,15.123,10.845,0.006,166.718,0.893,g
2458596.47577,2019-04-22.9787310,bl,2.08,15.133,10.860,0.006,164.370,0.875,g
2458596.47699,2019-04-22.9799511,bl,1.60,15.135,10.845,0.005,166.725,0.777,g
2458599.46258,2019-04-25.9657873,bl,2.35,14.591,10.784,0.010,176.357,1.537,g
2458599.46381,2019-04-25.9670126,bl,2.39,14.914,10.762,0.009,180.017,1.549,g
2458599.46501,2019-04-25.9682225,bl,2.33,14.893,10.813,0.009,171.629,1.382,g
2458599.49371,2019-04-25.9969144,bH,1.64,15.074,10.794,0.005,174.808,0.900,g
2458599.49496,2019-04-25.9981702,bH,1.61,15.068,10.798,0.006,174.115,0.928,g
2458599.49624,2019-04-25.9994460,bH,1.59,15.075,10.807,0.005,172.686,0.855,g
2458601.47153,2019-04-27.9749046,bH,2.03,15.082,10.713,0.005,188.313,0.936,g
2458601.47281,2019-04-27.9761814,bH,2.02,15.078,10.699,0.006,190.827,0.951,g
2458601.47408,2019-04-27.9774594,bH,2.00,15.080,10.706,0.005,189.561,0.862,g
2458602.47085,2019-04-28.9742900,bH,1.63,15.075,10.670,0.005,195.863,0.826,g
2458602.47212,2019-04-28.9755605,bH,1.64,15.075,10.667,0.005,196.340,0.854,g
2458602.47339,2019-04-28.9768387,bH,1.61,15.074,10.673,0.005,195.389,0.917,g
2458604.46131,2019-04-30.9649170,bl,2.27,14.980,10.631,0.006,203.035,1.133,g
2458604.46254,2019-04-30.9661405,bl,2.24,14.975,10.621,0.006,204.785,1.129,g
2458604.46378,2019-04-30.9673797,bl,2.24,14.978,10.620,0.006,205.174,1.187,g
2458606.45386,2019-05-02.9576114,bl,2.12,14.726,10.599,0.007,209.079,1.291,g
2458606.45508,2019-05-02.9588355,bl,2.05,14.773,10.604,0.006,208.145,1.191,g
2458608.45266,2019-05-04.9565598,bl,2.27,14.896,10.631,0.006,203.145,1.119,g
2458608.45388,2019-05-04.9577752,bl,2.17,14.921,10.606,0.006,207.873,1.150,g
2458609.45330,2019-05-05.9572745,bl,2.30,14.844,10.654,0.008,198.845,1.349,g
2458709.13065,2019-08-13.6343976,bD,1.56,15.153,10.707,0.005,189.303,0.844,g
2458714.12675,2019-08-18.6301270,bD,1.47,15.161,10.677,0.004,194.596,0.744,g
2458715.12229,2019-08-19.6255829,bD,1.52,15.198,10.709,0.004,188.950,0.773,g
2458715.12356,2019-08-19.6268565,bD,1.49,15.197,10.716,0.005,187.741,0.741,g
2458715.12484,2019-08-19.6281351,bD,1.51,15.206,10.714,0.004,188.035,0.762,g
2458716.12548,2019-08-20.6286975,bD,1.49,15.233,10.749,0.004,182.215,0.766,g
2458718.12101,2019-08-22.6240582,bD,1.56,15.289,10.805,0.004,172.884,0.667,g
2458718.12227,2019-08-22.6253228,bD,1.61,15.281,10.805,0.005,172.944,0.689,g
2458718.12355,2019-08-22.6265989,bD,1.61,15.280,10.803,0.005,173.267,0.696,g
2458719.12705,2019-08-23.6300216,bD,1.51,15.268,10.845,0.005,166.828,0.688,g
2458719.12833,2019-08-23.6312951,bD,1.48,15.264,10.842,0.005,167.202,0.714,g
2458719.12960,2019-08-23.6325689,bD,1.45,15.280,10.840,0.005,167.431,0.706,g
2458724.97175,2019-08-29.4742273,bt,1.51,14.994,10.940,0.006,152.835,0.855,g
2458724.97297,2019-08-29.4754387,bt,1.53,14.993,10.928,0.006,154.574,0.878,g
2458724.97418,2019-08-29.4766545,bt,1.53,14.985,10.906,0.006,157.582,0.913,g
2458725.98194,2019-08-30.4843276,bt,2.40,14.064,10.874,0.022,162.287,3.280,g
2458725.98316,2019-08-30.4855454,bt,2.42,14.190,10.921,0.017,155.460,2.408,g
2458725.98438,2019-08-30.4867600,bt,2.46,14.274,10.888,0.014,160.212,1.990,g
2458728.98014,2019-09-02.4822607,bt,1.52,14.946,10.786,0.006,176.162,0.899,g
2458728.98136,2019-09-02.4834708,bt,1.49,14.929,10.773,0.006,178.133,0.906,g
2458729.64717,2019-09-03.1492119,bp,1.54,15.157,10.756,0.004,180.971,0.714,g
2458729.64838,2019-09-03.1504254,bp,1.53,15.149,10.737,0.005,184.222,0.756,g
2458729.64959,2019-09-03.1516331,bp,1.49,15.163,10.759,0.005,180.491,0.748,g
2458730.64422,2019-09-04.1461798,bp,1.58,15.140,10.716,0.004,187.719,0.720,g
2458730.64544,2019-09-04.1473965,bp,1.53,15.140,10.710,0.005,188.899,0.764,g
2458730.64665,2019-09-04.1486134,bp,1.62,15.123,10.694,0.005,191.534,0.777,g
2458731.12044,2019-09-04.6223552,bD,1.60,15.261,10.692,0.004,191.920,0.708,g
2458731.12173,2019-09-04.6236443,bD,1.56,15.258,10.691,0.004,192.241,0.678,g
2458731.12302,2019-09-04.6249341,bD,1.51,15.257,10.689,0.004,192.445,0.674,g
2458733.11930,2019-09-06.6210322,bD,1.48,15.251,10.668,0.004,196.366,0.715,g
2458733.12058,2019-09-06.6223179,bD,1.48,15.258,10.677,0.004,194.562,0.741,g
2458733.12187,2019-09-06.6236053,bD,1.55,15.253,10.667,0.004,196.363,0.697,g
2458733.63657,2019-09-07.1382533,bp,1.55,15.141,10.714,0.005,188.245,0.754,g
2458733.63781,2019-09-07.1394983,bp,1.55,15.127,10.694,0.005,191.548,0.759,g
2458733.63902,2019-09-07.1407082,bp,1.65,15.115,10.670,0.005,195.904,0.828,g
2458734.10048,2019-09-07.6021156,bD,1.99,15.202,10.681,0.004,193.851,0.740,g
2458734.10177,2019-09-07.6034085,bD,2.07,15.197,10.680,0.004,194.055,0.704,g
2458734.10306,2019-09-07.6046957,bD,2.06,15.202,10.675,0.004,194.972,0.705,g
2458734.63071,2019-09-08.1322975,bp,1.54,15.051,10.716,0.005,187.698,0.873,g
2458734.63198,2019-09-08.1335629,bp,1.50,15.033,10.682,0.005,193.774,0.839,g
2458734.63348,2019-09-08.1350697,bp,1.54,15.049,10.704,0.005,189.972,0.826,g
2458740.08827,2019-09-13.5893400,bD,1.52,15.142,10.853,0.005,165.441,0.772,g
2458740.08955,2019-09-13.5906271,bD,1.48,14.776,10.846,0.007,166.574,1.071,g
2458740.09084,2019-09-13.5919137,bD,1.56,14.994,10.847,0.007,166.469,1.062,g
2458742.86369,2019-09-16.3645005,bH,1.50,15.138,10.924,0.005,154.943,0.818,g
2458742.86496,2019-09-16.3657673,bH,1.43,15.135,10.914,0.005,156.476,0.771,g
2458742.86622,2019-09-16.3670303,bH,1.44,15.164,10.888,0.005,160.199,0.775,g
2458743.60933,2019-09-17.1100688,bp,1.54,15.037,10.930,0.006,154.163,0.867,g
2458743.61053,2019-09-17.1112692,bp,1.56,15.044,10.942,0.006,152.430,0.856,g
2458743.61175,2019-09-17.1124844,bp,1.45,15.073,10.962,0.006,149.736,0.828,g
2458744.04863,2019-09-17.5493225,bD,1.40,15.330,10.950,0.005,151.294,0.667,g
2458744.04992,2019-09-17.5506159,bD,1.49,15.330,10.947,0.005,151.755,0.660,g
2458744.05121,2019-09-17.5519003,bD,1.47,15.331,10.939,0.005,152.907,0.637,g
2458744.65170,2019-09-18.1523347,bp,1.54,15.077,10.960,0.006,149.875,0.792,g
2458744.65291,2019-09-18.1535420,bp,1.58,15.067,10.978,0.006,147.584,0.827,g
2458744.65411,2019-09-18.1547422,bp,1.97,15.047,10.986,0.006,146.360,0.816,g
2458745.09819,2019-09-18.5987799,bD,1.46,15.379,10.971,0.005,148.367,0.596,g
2458745.09947,2019-09-18.6000668,bD,1.46,15.371,10.967,0.004,149.028,0.583,g
2458745.10077,2019-09-18.6013562,bD,1.48,15.382,10.976,0.005,147.907,0.603,g
2458745.64051,2019-09-19.1410437,bp,1.62,14.604,10.944,0.009,152.179,1.267,g
2458745.64173,2019-09-19.1422651,bp,1.56,14.648,10.949,0.009,151.515,1.286,g
2458746.13135,2019-09-19.6318453,bD,1.53,15.243,10.955,0.005,150.682,0.670,g
2458746.13265,2019-09-19.6331415,bD,1.55,15.217,10.960,0.005,150.097,0.725,g
2458746.13394,2019-09-19.6344320,bD,1.52,15.174,10.967,0.006,149.009,0.732,g
2458751.04118,2019-09-24.5411981,bD,1.44,15.276,10.751,0.004,181.789,0.676,g
2458751.04246,2019-09-24.5424760,bD,1.47,15.277,10.747,0.004,182.571,0.687,g
2458751.04374,2019-09-24.5437643,bD,1.51,15.268,10.737,0.004,184.116,0.670,g
2458752.11223,2019-09-25.6121414,bD,1.45,15.290,10.708,0.004,189.245,0.748,g
2458752.11352,2019-09-25.6134317,bD,1.52,15.289,10.709,0.004,189.064,0.761,g
2458752.11481,2019-09-25.6147177,bD,1.54,15.292,10.713,0.004,188.244,0.750,g
2458753.10122,2019-09-26.6010351,bD,1.47,15.286,10.714,0.004,188.080,0.678,g
2458753.10251,2019-09-26.6023230,bD,1.48,15.291,10.726,0.004,186.052,0.650,g
2458753.10380,2019-09-26.6036094,bD,1.48,15.289,10.718,0.004,187.319,0.656,g
2458754.89500,2019-09-28.3946527,bt,1.48,14.881,10.710,0.006,188.805,1.027,g
2458754.89622,2019-09-28.3958651,bt,1.47,14.893,10.730,0.006,185.408,1.008,g
2458754.89744,2019-09-28.3970820,bt,1.49,14.881,10.701,0.006,190.481,0.977,g
2458755.92090,2019-09-29.4204436,bt,1.54,14.801,10.711,0.007,188.642,1.287,g
2458755.92211,2019-09-29.4216579,bt,1.44,14.879,10.646,0.005,200.312,0.929,g
2458755.92333,2019-09-29.4228712,bt,1.46,14.920,10.724,0.006,186.477,0.935,g
2458760.57741,2019-10-04.0765076,bp,1.54,99.990,99.990,99.990,99.990,99.990,g
2458760.57863,2019-10-04.0777311,bp,1.57,99.990,99.990,99.990,99.990,99.990,g
2458760.57984,2019-10-04.0789362,bp,1.53,99.990,99.990,99.990,99.990,99.990,g
2458762.57549,2019-10-06.0743965,bp,1.52,15.213,10.893,0.005,159.649,0.688,g
2458762.57670,2019-10-06.0756016,bp,1.50,15.222,10.906,0.005,157.651,0.709,g
2458762.57794,2019-10-06.0768466,bp,1.47,15.218,10.898,0.005,158.834,0.706,g
2458763.01286,2019-10-06.5117189,bD,1.47,15.330,10.904,0.005,157.995,0.638,g
2458763.01416,2019-10-06.5130140,bD,1.54,15.334,10.908,0.005,157.429,0.649,g
2458763.01544,2019-10-06.5142997,bD,1.52,15.336,10.915,0.005,156.413,0.649,g
2458764.01237,2019-10-07.5111305,bD,1.46,15.357,10.947,0.005,151.714,0.612,g
2458764.01366,2019-10-07.5124142,bD,1.47,15.361,10.945,0.005,151.995,0.613,g
2458764.01493,2019-10-07.5137002,bD,1.48,15.353,10.927,0.005,154.716,0.614,g
2458764.81118,2019-10-08.3098670,bH,1.42,15.229,10.946,0.005,151.910,0.699,g
2458764.81247,2019-10-08.3111534,bH,1.40,15.244,10.957,0.005,150.346,0.732,g
2458764.81373,2019-10-08.3124186,bH,1.44,15.238,10.953,0.005,150.964,0.690,g
2458765.80772,2019-10-09.3063092,bl,1.47,15.173,10.969,0.006,148.840,0.719,g
2458765.80894,2019-10-09.3075282,bl,1.61,15.160,10.967,0.006,148.937,0.707,g
2458765.81015,2019-10-09.3087449,bl,1.52,15.161,10.958,0.006,150.239,0.717,g
2458769.97413,2019-10-13.4723331,bD,1.55,15.190,10.885,0.005,160.785,0.791,g
2458769.97541,2019-10-13.4736187,bD,1.63,15.181,10.888,0.005,160.319,0.822,g
2458769.97670,2019-10-13.4749079,bD,1.52,15.183,10.879,0.005,161.672,0.781,g
2458771.00524,2019-10-14.5033533,bD,1.56,15.239,10.831,0.005,168.945,0.713,g
2458771.00653,2019-10-14.5046373,bD,1.54,15.219,10.825,0.005,169.875,0.746,g
2458771.00781,2019-10-14.5059208,bD,1.59,15.249,10.829,0.005,169.280,0.709,g
2458772.10223,2019-10-15.6002398,bD,1.57,15.258,10.775,0.004,177.878,0.690,g
2458772.10352,2019-10-15.6015267,bD,1.58,15.267,10.779,0.004,177.242,0.658,g
2458772.10481,2019-10-15.6028177,bD,1.56,15.275,10.779,0.004,177.307,0.664,g
2458773.92693,2019-10-17.4247798,bt,1.56,14.935,10.718,0.005,187.361,1.004,g
2458773.92815,2019-10-17.4259930,bt,1.44,14.905,10.647,0.005,200.005,1.045,g
2458773.92936,2019-10-17.4272182,bt,1.49,14.904,10.686,0.005,193.056,0.978,g
2458778.96834,2019-10-22.4657438,bt,1.54,15.166,10.760,0.005,180.249,0.767,g
2458778.96957,2019-10-22.4669679,bt,1.61,15.182,10.792,0.005,175.149,0.704,g
2458778.97079,2019-10-22.4681859,bt,1.53,15.194,10.803,0.005,173.185,0.744,g
2458779.52992,2019-10-23.0272682,bp,1.94,99.990,99.990,99.990,99.990,99.990,g
2458780.02353,2019-10-23.5208370,bD,1.48,15.327,10.792,0.004,175.013,0.631,g
2458780.02480,2019-10-23.5221206,bD,1.50,15.335,10.805,0.004,173.020,0.634,g
2458780.02609,2019-10-23.5234054,bD,1.49,15.334,10.804,0.004,173.113,0.620,g
2458781.07252,2019-10-24.5697390,bD,1.48,15.348,10.829,0.004,169.118,0.606,g
2458781.07380,2019-10-24.5710255,bD,1.52,15.346,10.828,0.004,169.439,0.604,g
2458781.07509,2019-10-24.5723193,bD,1.50,15.358,10.841,0.003,167.254,0.580,g
2458782.08391,2019-10-25.5810440,bD,1.49,15.364,10.858,0.004,164.734,0.592,g
2458782.08520,2019-10-25.5823341,bD,1.51,15.366,10.853,0.004,165.409,0.601,g
2458782.08649,2019-10-25.5836232,bD,1.50,15.366,10.859,0.003,164.606,0.578,g
2458783.84131,2019-10-27.3382952,bt,1.53,15.246,10.908,0.006,157.315,0.830,g
2458783.84251,2019-10-27.3395089,bt,1.51,15.247,10.906,0.005,157.551,0.786,g
2458783.84373,2019-10-27.3407245,bt,1.60,15.260,10.940,0.006,152.669,0.781,g
2458785.81673,2019-10-29.3135636,bt,1.49,15.240,10.948,0.005,151.562,0.732,g
2458790.04896,2019-11-02.5454521,bD,1.49,15.392,10.930,0.004,154.154,0.568,g
2458790.75604,2019-11-03.2524822,bt,1.62,99.990,99.990,99.990,99.990,99.990,g
2458790.75724,2019-11-03.2536936,bt,1.61,99.990,99.990,99.990,99.990,99.990,g
2458790.75847,2019-11-03.2549135,bt,1.59,12.862,10.873,0.041,162.433,6.149,g
2458791.71258,2019-11-04.2089579,bH,1.39,15.133,10.832,0.005,168.665,0.808,g
2458791.71385,2019-11-04.2102219,bH,1.41,15.134,10.836,0.005,168.134,0.806,g
2458791.71513,2019-11-04.2114984,bH,1.45,15.120,10.796,0.005,174.412,0.839,g
2458792.97028,2019-11-05.4665637,bD,1.53,15.313,10.796,0.004,174.444,0.710,g
2458792.97157,2019-11-05.4678495,bD,1.51,15.319,10.802,0.004,173.510,0.710,g
2458792.97285,2019-11-05.4691383,bD,1.48,15.314,10.794,0.004,174.857,0.705,g
2458795.01534,2019-11-07.5114666,bD,1.50,15.292,10.729,0.004,185.485,0.646,g
2458795.01663,2019-11-07.5127570,bD,1.49,15.281,10.711,0.004,188.537,0.665,g
2458795.01792,2019-11-07.5140504,bD,1.52,15.286,10.720,0.004,187.138,0.669,g
2458795.94391,2019-11-08.4399743,bD,1.53,15.200,10.719,0.005,187.333,0.756,g
2458795.94521,2019-11-08.4412761,bD,1.50,15.221,10.719,0.004,187.173,0.750,g
2458795.94650,2019-11-08.4425729,bD,1.50,15.232,10.717,0.004,187.634,0.750,g
2458797.79482,2019-11-10.2907674,bl,1.57,15.032,10.691,0.005,192.254,0.832,g
2458797.79604,2019-11-10.2919868,bl,1.50,15.048,10.711,0.005,188.675,0.803,g
2458797.79726,2019-11-10.2932035,bl,1.54,15.036,10.705,0.005,189.801,0.851,g
2458801.09394,2019-11-13.5896653,bD,1.57,15.239,10.809,0.005,172.497,0.724,g
2458801.09523,2019-11-13.5909552,bD,1.49,15.250,10.810,0.005,172.229,0.706,g
2458801.09651,2019-11-13.5922401,bD,1.54,15.243,10.807,0.005,172.774,0.684,g
2458805.97332,2019-11-18.4687582,bt,1.44,15.219,10.968,0.005,148.817,0.710,g
2458805.97454,2019-11-18.4699790,bt,1.48,15.247,10.997,0.005,144.906,0.704,g
2458806.94710,2019-11-19.4424829,bt,1.48,14.707,11.032,0.009,140.337,1.192,g
2458806.94832,2019-11-19.4437033,bt,1.54,14.576,11.087,0.014,133.356,1.717,g
2458806.94953,2019-11-19.4449200,bt,1.49,14.200,10.930,0.017,154.084,2.416,g
2458812.54449,2019-11-25.0395863,bp,1.54,15.174,10.805,0.004,173.011,0.698,g
2458812.54571,2019-11-25.0408056,bp,1.53,15.159,10.816,0.005,171.140,0.766,g
2458812.54692,2019-11-25.0420121,bp,1.58,15.163,10.825,0.005,169.752,0.729,g
2458813.55997,2019-11-26.0550224,bp,1.54,15.209,10.842,0.005,167.223,0.707,g
2458813.56118,2019-11-26.0562309,bp,1.56,15.196,10.822,0.004,170.384,0.684,g
2458813.56239,2019-11-26.0574457,bp,1.56,15.209,10.847,0.005,166.334,0.682,g
2458814.08712,2019-11-26.5821459,bD,1.42,15.323,10.791,0.004,175.181,0.638,g
2458814.55722,2019-11-27.0522200,bp,1.56,15.181,10.791,0.004,175.162,0.696,g
2458814.55844,2019-11-27.0534377,bp,1.54,15.179,10.782,0.005,176.688,0.723,g
2458814.55965,2019-11-27.0546546,bp,1.57,15.175,10.789,0.005,175.494,0.711,g
2458815.08991,2019-11-27.5848893,bD,1.47,15.305,10.758,0.004,180.686,0.651,g
2458815.09118,2019-11-27.5861620,bD,1.46,15.307,10.759,0.004,180.577,0.643,g
2458815.09247,2019-11-27.5874512,bD,1.48,15.306,10.759,0.004,180.429,0.646,g
2458815.56151,2019-11-28.0564674,bp,1.53,15.154,10.766,0.004,179.409,0.713,g
2458815.56273,2019-11-28.0576843,bp,1.57,15.146,10.761,0.005,180.207,0.758,g
2458815.56394,2019-11-28.0589045,bp,1.55,15.148,10.753,0.005,181.504,0.766,g
2458816.10549,2019-11-28.6004358,bD,1.50,14.833,10.731,0.007,185.294,1.212,g
2458816.10679,2019-11-28.6017254,bD,1.45,15.095,10.738,0.005,183.903,0.791,g
2458816.10806,2019-11-28.6030037,bD,1.51,15.068,10.739,0.005,183.816,0.806,g
2458818.88877,2019-12-01.3835958,bt,1.68,14.815,10.760,0.006,180.309,0.975,g
2458818.88998,2019-12-01.3848127,bt,1.71,14.781,10.755,0.006,181.158,0.999,g
2458819.40872,2019-12-01.9035314,bp,1.46,14.962,10.679,0.012,194.203,2.128,g
2458819.40994,2019-12-01.9047550,bp,1.41,14.799,10.842,0.010,167.238,1.537,g
2458819.41115,2019-12-01.9059682,bp,1.49,14.559,10.905,0.019,157.670,2.759,g
2458819.64279,2019-12-02.1375910,bl,1.44,15.003,10.724,0.005,186.398,0.852,g
2458819.64402,2019-12-02.1388150,bl,1.49,14.997,10.719,0.005,187.253,0.837,g
2458819.64523,2019-12-02.1400320,bl,1.47,15.003,10.724,0.005,186.524,0.883,g
2458820.41364,2019-12-02.9084172,bp,1.50,14.368,10.837,0.010,167.952,1.528,g
