HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457320.06120,2015-10-24.5584162,bd,1.61,14.559,9.894,0.005,422.781,1.759,V
2457320.06245,2015-10-24.5596701,bd,1.54,14.556,9.894,0.004,423.093,1.735,V
2457320.93857,2015-10-25.4357184,bd,1.50,14.480,9.879,0.005,428.944,1.927,V
2457320.93982,2015-10-25.4369603,bd,1.55,14.498,9.880,0.004,428.725,1.700,V
2457320.94106,2015-10-25.4382034,bd,1.54,14.481,9.881,0.005,428.225,2.005,V
2457324.94100,2015-10-29.4378168,bd,1.53,14.491,9.922,0.005,412.088,1.995,V
2457324.94225,2015-10-29.4390699,bd,1.61,14.504,9.918,0.005,413.685,1.932,V
2457324.94349,2015-10-29.4403090,bd,1.54,14.478,9.917,0.005,414.080,1.901,V
2457330.09096,2015-11-03.5873719,bd,1.53,14.533,10.078,0.005,357.174,1.660,V
2457330.09221,2015-11-03.5886258,bd,1.56,14.535,10.074,0.005,358.602,1.598,V
2457330.09345,2015-11-03.5898665,bd,1.51,14.513,10.057,0.005,363.933,1.663,V
2457333.08277,2015-11-06.5789695,bd,1.59,14.627,10.054,0.005,365.181,1.586,V
2457333.08402,2015-11-06.5802153,bd,1.58,14.624,10.051,0.005,366.091,1.597,V
2457333.08527,2015-11-06.5814650,bd,1.57,14.624,10.047,0.004,367.505,1.449,V
2457342.88421,2015-11-16.3797671,bd,1.60,14.280,9.892,0.005,423.722,1.975,V
2457342.88510,2015-11-16.3806605,bd,1.49,14.286,9.892,0.005,423.604,2.034,V
2457342.88601,2015-11-16.3815604,bd,1.58,14.284,9.882,0.006,427.676,2.158,V
2457358.08970,2015-12-01.5845261,bd,1.50,14.595,9.991,0.004,386.845,1.596,V
2457358.09096,2015-12-01.5857773,bd,1.49,14.586,9.982,0.004,390.226,1.642,V
2457358.09221,2015-12-01.5870337,bd,1.52,14.584,9.988,0.004,388.109,1.624,V
2457358.98782,2015-12-02.4826123,bd,1.57,14.581,9.957,0.004,399.443,1.641,V
2457358.98907,2015-12-02.4838635,bd,1.56,14.585,9.955,0.005,399.839,1.695,V
2457358.99032,2015-12-02.4851082,bd,1.55,14.588,9.962,0.005,397.149,1.681,V
2457359.88171,2015-12-03.3764658,bd,1.47,14.557,9.938,0.004,406.169,1.607,V
2457359.88295,2015-12-03.3777076,bd,1.46,14.560,9.936,0.005,406.666,1.708,V
2457359.88419,2015-12-03.3789504,bd,1.59,14.557,9.938,0.005,406.026,1.715,V
2457361.93506,2015-12-05.4297564,bd,1.46,14.570,9.912,0.005,416.015,1.773,V
2457361.93630,2015-12-05.4309966,bd,1.46,14.576,9.920,0.005,412.793,1.711,V
2457361.93756,2015-12-05.4322547,bd,1.49,14.569,9.915,0.004,414.696,1.713,V
2457363.95068,2015-12-07.4453108,bd,1.51,14.562,9.901,0.005,420.492,1.822,V
2457363.95193,2015-12-07.4465646,bd,1.54,14.568,9.911,0.005,416.208,1.802,V
2457363.95319,2015-12-07.4478194,bd,1.47,14.565,9.905,0.004,418.756,1.708,V
2457366.05329,2015-12-09.5478770,bd,1.65,14.563,9.918,0.005,413.560,1.840,V
2457366.05455,2015-12-09.5491276,bd,1.67,14.558,9.922,0.005,412.099,1.878,V
2457366.05579,2015-12-09.5503707,bd,1.66,14.561,9.919,0.005,412.971,1.837,V
2457366.85246,2015-12-10.3470206,bd,1.57,14.546,9.942,0.005,404.831,1.763,V
2457366.85369,2015-12-10.3482596,bd,1.63,14.538,9.940,0.005,405.304,1.736,V
2457366.85495,2015-12-10.3495134,bd,1.62,14.544,9.929,0.005,409.682,1.873,V
2457368.92143,2015-12-12.4159487,bd,1.48,14.592,10.001,0.004,383.193,1.552,V
2457368.92268,2015-12-12.4171997,bd,1.58,14.589,9.993,0.005,386.276,1.655,V
2457368.92393,2015-12-12.4184502,bd,1.53,14.597,10.008,0.005,380.813,1.630,V
2457374.87775,2015-12-18.3721894,bd,1.65,14.619,10.079,0.004,356.664,1.548,V
2457374.87901,2015-12-18.3734503,bd,1.67,14.608,10.073,0.004,358.790,1.536,V
2457374.88027,2015-12-18.3747069,bd,1.70,14.607,10.078,0.005,356.998,1.560,V
2457383.99096,2015-12-27.4853973,bd,1.83,14.509,9.932,0.005,408.220,2.074,V
2457383.99222,2015-12-27.4866521,bd,1.73,14.517,9.934,0.005,407.660,1.874,V
2457383.99347,2015-12-27.4879042,bd,1.69,14.545,9.936,0.005,406.849,1.724,V
2457385.90824,2015-12-29.4026915,bd,1.50,14.608,9.922,0.005,412.278,1.685,V
2457385.90949,2015-12-29.4039401,bd,1.54,14.610,9.918,0.004,413.692,1.678,V
2457385.91074,2015-12-29.4051962,bd,1.45,14.608,9.916,0.004,414.566,1.580,V
2457386.85818,2015-12-30.3526424,bd,1.60,14.599,9.929,0.005,409.376,1.841,V
2457386.85942,2015-12-30.3538881,bd,1.73,14.593,9.931,0.005,408.827,1.720,V
2457386.86068,2015-12-30.3551366,bd,1.72,14.595,9.929,0.004,409.771,1.662,V
2457387.76893,2015-12-31.2634085,bd,2.05,14.542,9.940,0.004,405.750,1.613,V
2457387.77019,2015-12-31.2646603,bd,2.06,14.543,9.943,0.004,404.158,1.569,V
2457387.77142,2015-12-31.2659005,bd,2.08,14.542,9.941,0.004,405.252,1.692,V
2457390.90263,2016-01-03.3971554,bd,1.59,14.635,10.022,0.005,375.810,1.584,V
2457390.90387,2016-01-03.3983996,bd,1.57,14.635,10.021,0.004,376.245,1.551,V
2457390.90513,2016-01-03.3996569,bd,1.58,14.633,10.025,0.004,374.979,1.428,V
